actual,predicted,error,abs_error
2466405.0799999987,192883.35905826616,2273521.7209417326,2273521.7209417326
2845109.9099999983,778587.7703013759,2066522.1396986223,2066522.1396986223
2290173.539999999,226570.84430597778,2063602.6956940214,2063602.6956940214
2566009.8799999994,606201.8899472455,1959807.990052754,1959807.990052754
1977082.1800000009,203575.5856798909,1773506.59432011,1773506.59432011
2293346.140000001,550221.2442483704,1743124.8957516307,1743124.8957516307
2133941.0999999996,497588.19607756217,1636352.9039224375,1636352.9039224375
1809189.610000001,236665.7723421588,1572523.8376578423,1572523.8376578423
2619076.830000001,1083090.5121069446,1535986.3178930564,1535986.3178930564
2162291.220000002,699056.7033901536,1463234.5166098485,1463234.5166098485
1534427.1299999985,75132.4374282862,1459294.6925717122,1459294.6925717122
2161343.0200000014,703368.9406805248,1457974.0793194766,1457974.0793194766
1603904.6500000004,182951.1555479691,1420953.4944520313,1420953.4944520313
2055465.899999999,675157.3882291465,1380308.5117708524,1380308.5117708524
1632540.260000001,257280.43466948482,1375259.825330516,1375259.825330516
2988275.0999999978,1681025.7321846294,1307249.3678153683,1307249.3678153683
1711947.1600000004,410731.10471199325,1301216.055288007,1301216.055288007
1532869.8999999987,256806.51519174868,1276063.38480825,1276063.38480825
1751942.4500000007,495543.58712502685,1256398.8628749738,1256398.8628749738
1870406.1500000013,633225.802577308,1237180.3474226934,1237180.3474226934
1939077.2799999998,706464.9215810926,1232612.358418907,1232612.358418907
1962261.099999999,767569.1151790172,1194691.9848209817,1194691.9848209817
2277763.5400000005,1105192.0891504604,1172571.45084954,1172571.45084954
1853808.3700000008,683601.7653909129,1170206.604609088,1170206.604609088
1808136.1800000009,641908.0731629255,1166228.1068370752,1166228.1068370752
1706137.5300000012,578533.7040360642,1127603.825963937,1127603.825963937
1670911.9800000002,545417.8122149414,1125494.1677850587,1125494.1677850587
1574990.0899999996,453141.2327899397,1121848.8572100599,1121848.8572100599
1283420.2400000002,173407.9711993829,1110012.2688006172,1110012.2688006172
1252397.19,142941.3768196615,1109455.8131803384,1109455.8131803384
1835474.84,732826.8145392771,1102648.0254607229,1102648.0254607229
1346765.1699999995,251803.71505923252,1094961.454940767,1094961.454940767
1595407.0499999993,509129.37267068407,1086277.6773293153,1086277.6773293153
1773109.0000000016,729186.584353226,1043922.4156467756,1043922.4156467756
1749718.2200000011,708569.2158983791,1041149.004101622,1041149.004101622
1564959.7200000011,535651.9527031125,1029307.7672968886,1029307.7672968886
1543965.5700000012,515963.3313475305,1028002.2386524708,1028002.2386524708
1642159.0400000007,616744.4391704823,1025414.6008295184,1025414.6008295184
2467818.7600000002,1454017.898220287,1013800.8617797133,1013800.8617797133
1699461.5899999994,686635.986181286,1012825.6038187133,1012825.6038187133
1698558.8999999987,692453.1940223643,1006105.7059776344,1006105.7059776344
1641503.6799999997,646967.1647572927,994536.515242707,994536.515242707
1405579.2199999995,416145.17408510414,989434.0459148954,989434.0459148954
1916672.9999999984,948056.7557675258,968616.2442324726,968616.2442324726
1502390.3200000003,537586.9696331078,964803.3503668925,964803.3503668925
1990113.8599999999,1025618.0378968841,964495.8221031157,964495.8221031157
1484689.51,520856.1206650839,963833.3893349161,963833.3893349161
1442897.2199999988,491820.74923077936,951076.4707692194,951076.4707692194
1599396.7800000003,648497.5522697776,950899.2277302226,950899.2277302226
1854217.01,905192.9430815442,949024.0669184558,949024.0669184558
1595176.0500000005,653633.565758392,941542.4842416085,941542.4842416085
1268810.249999999,328845.05265309475,939965.1973469043,939965.1973469043
1704170.9399999985,765596.3835929552,938574.5564070434,938574.5564070434
209283.47999999992,1147748.0746032165,-938464.5946032165,938464.5946032165
1229712.3599999996,291557.77992487134,938154.5800751282,938154.5800751282
1141473.82,204086.71394955373,937387.1060504464,937387.1060504464
1408506.7199999993,475795.7433715388,932710.9766284605,932710.9766284605
1107396.14,174961.70397841893,932434.436021581,932434.436021581
2153292.060000001,1226458.2636047439,926833.7963952571,926833.7963952571
1164357.600000001,239405.47292042658,924952.1270795744,924952.1270795744
1296049.750000001,374445.16556133976,921604.5844386611,921604.5844386611
1135712.1500000001,217471.85323999423,918240.2967600059,918240.2967600059
216.00000000000006,916628.1107578531,-916412.1107578531,916412.1107578531
1772102.9800000011,857081.9543758087,915021.0256241924,915021.0256241924
1819590.2500000002,905506.0507915386,914084.1992084617,914084.1992084617
1642788.6799999988,733004.5882054737,909784.091794525,909784.091794525
1065653.1700000004,156201.13416449356,909452.0358355069,909452.0358355069
1494128.2299999997,586958.8796490795,907169.3503509202,907169.3503509202
1588364.13,681752.0160586998,906612.1139413001,906612.1139413001
1297576.51,391865.6636803286,905710.8463196715,905710.8463196715
1494801.7699999993,592293.7424987828,902508.0275012165,902508.0275012165
1405145.389999999,504759.6843540287,900385.7056459703,900385.7056459703
1782760.230000001,882793.1954942158,899967.0345057851,899967.0345057851
1500033.7199999995,601790.6646117514,898243.0553882481,898243.0553882481
1023387.1300000008,127744.67134070437,895642.4586592964,895642.4586592964
1122701.1900000002,232782.03338273944,889919.1566172608,889919.1566172608
1236096.2199999993,348594.32098696305,887501.8990130362,887501.8990130362
1300903.6800000004,414043.0599527018,886860.6200472986,886860.6200472986
1635320.5499999996,749587.6320372218,885732.9179627778,885732.9179627778
1513527.229999999,634380.0603027871,879147.1696972119,879147.1696972119
2028534.1199999994,1153214.0360376018,875320.0839623976,875320.0839623976
1766369.7900000007,896303.5859063126,870066.2040936882,870066.2040936882
1939808.5899999994,1070248.0529551625,869560.5370448369,869560.5370448369
1258643.9600000002,389473.9279898971,869170.0320101031,869170.0320101031
1493807.7599999995,626201.9922269289,867605.7677730706,867605.7677730706
1375934.6400000008,508773.92954779643,867160.7104522043,867160.7104522043
967730.6999999994,101467.14133013278,866263.5586698665,866263.5586698665
1107529.6700000009,243548.44725641588,863981.222743585,863981.222743585
1015832.7500000002,152463.6786684937,863369.0713315066,863369.0713315066
1169879.8999999997,308480.0295461037,861399.870453896,861399.870453896
413456.99999999977,1273942.9928662146,-860485.9928662148,860485.9928662148
1602206.5500000014,742477.7841999221,859728.7658000793,859728.7658000793
1319215.8399999996,461453.5719525059,857762.2680474936,857762.2680474936
1100799.1800000009,252712.282087905,848086.8979120959,848086.8979120959
2330296.310000002,1484189.293811732,846107.01618827,846107.01618827
1288843.8699999992,443004.9180208222,845838.951979177,845838.951979177
1417872.0599999991,576047.8416105872,841824.2183894119,841824.2183894119
1341761.0999999999,504855.6243554777,836905.4756445221,836905.4756445221
1300665.9400000009,465843.8583036493,834822.0816963515,834822.0816963515
1130292.2399999995,296100.6260599893,834191.6139400102,834191.6139400102
2176364.8800000004,1342809.4237110761,833555.4562889242,833555.4562889242
1576978.7599999993,744083.5300848766,832895.2299151227,832895.2299151227
1353792.0400000003,523870.1183425726,829921.9216574277,829921.9216574277
1616068.4599999988,787347.9631007416,828720.4968992572,828720.4968992572
1464073.6399999997,636109.7301786828,827963.9098213168,827963.9098213168
1825923.3500000013,998911.9443596053,827011.4056403959,827011.4056403959
